,id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,sensitive,y_charge_mean,charge_id_0,charge_id_1,charge_id_2,charge_id_3,charge_id_4,BlackLatinoMale,African-American,Hispanic,Caucasian,Native American,Asian,Other,y
2057,2057,0,2,33,0,0,2,0,0,0,1,2,-1,2,-1,0,1,-1,53,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
762,762,0,2,23,-1,0,3,0,0,0,1,3,-1,4,-1,0,1,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
1477,1477,0,0,37,0,0,2,0,0,3,1,2,-1,2,-1,3,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
2684,2684,0,0,24,-1,0,4,0,0,2,1,4,-1,7,0,2,0,-1,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
5384,5384,0,0,21,-1,0,3,0,1,0,1,3,-1,5,0,0,1,-1,0,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
5671,5671,0,0,30,0,0,3,0,0,0,0,3,-1,2,-1,0,1,0,0,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
765,765,0,2,55,1,0,7,0,0,11,338,7,0,3,-1,11,0,-1,57,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
4983,4983,0,2,32,0,0,7,0,0,9,0,7,0,4,-1,9,0,0,4,2,0.532188841,1,0,0,0,0,0,0,0,1,0,0,0,1
769,769,1,0,22,-1,0,4,0,1,0,1,4,-1,4,-1,0,1,-1,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,1
3374,3374,1,5,29,0,0,2,0,0,2,1,2,-1,2,-1,2,0,0,-1,7,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
209,209,1,2,58,1,0,1,0,0,2,23,1,-1,1,-1,2,0,-23,1,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
1383,1383,0,0,54,1,0,1,0,0,0,0,1,-1,1,-1,0,0,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
441,441,0,2,22,-1,0,8,1,0,1,1,8,1,6,0,1,1,-1,19,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
5003,5003,0,2,30,0,0,4,0,0,3,1,4,-1,4,-1,3,1,-1,12,2,0.532188841,1,0,0,0,0,0,0,0,1,0,0,0,1
3023,3023,0,0,23,-1,0,2,0,0,0,1,2,-1,4,-1,0,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
4632,4632,0,2,36,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,0,2,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,0
5752,5752,0,0,26,0,0,8,0,0,10,1,8,1,7,0,10,1,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
1257,1257,1,0,36,0,0,1,0,0,1,1,1,-1,1,-1,1,0,0,-1,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
5192,5192,0,0,24,-1,0,10,1,0,3,2,10,1,10,1,3,1,-1,0,0,0.532188841,1,0,0,0,0,1,1,0,0,0,0,0,1
2592,2592,0,5,48,1,0,1,0,0,1,21,1,-1,1,-1,1,1,-21,21,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
917,917,0,0,39,0,0,7,0,0,5,1,7,0,4,-1,5,1,-1,4,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
4084,4084,0,2,29,0,0,3,0,0,1,2,3,-1,4,-1,1,1,-2,0,2,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,0
2413,2413,0,2,27,0,0,8,0,0,0,2,8,1,5,0,0,1,-1,47,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
4678,4678,0,2,22,-1,0,4,0,0,0,0,4,-1,5,0,0,0,0,0,2,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,0
504,504,0,3,22,-1,0,7,0,0,1,1,7,0,5,0,1,0,0,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,1
2827,2827,0,0,25,0,0,6,0,0,7,1,6,0,4,-1,7,1,-1,18,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
3387,3387,0,0,28,0,0,2,0,0,5,0,2,-1,2,-1,5,1,-1,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
5769,5769,0,0,28,0,1,5,0,0,12,1,5,0,5,0,12,1,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
1996,1996,0,0,22,-1,0,6,1,0,1,1,6,0,7,0,1,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
1332,1332,0,0,26,0,0,9,0,1,12,1,9,1,4,-1,12,0,-1,10,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
3411,3411,0,0,36,0,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
1056,1056,0,0,27,0,0,6,2,1,13,0,6,0,3,-1,13,1,0,14,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
3246,3246,0,0,27,0,0,5,0,0,8,1,5,0,6,0,8,1,-1,25,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
1306,1306,0,0,43,0,0,10,0,0,6,81,10,1,5,0,6,0,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
703,703,0,0,23,-1,1,9,0,0,1,1,9,1,9,1,1,0,-1,5,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
2690,2690,0,2,31,0,0,6,0,3,9,1,6,0,4,-1,9,1,-1,470,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
3183,3183,0,2,33,0,0,6,0,0,6,0,6,0,6,0,6,1,-1,152,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
4596,4596,0,0,23,-1,0,2,0,0,0,1,2,-1,3,-1,0,1,-1,2,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,0
1499,1499,0,5,37,0,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
521,521,0,0,43,0,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
1245,1245,0,3,24,-1,0,1,0,0,0,1,1,-1,3,-1,0,1,-1,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,1
912,912,0,5,25,0,20,10,0,0,24,1,10,1,6,0,24,1,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
746,746,0,0,30,0,1,10,0,2,15,1,10,1,8,1,15,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
5542,5542,1,3,32,0,0,3,0,0,0,1,3,-1,2,-1,0,0,-1,7,5,0.48852459,0,0,0,1,0,0,0,1,0,0,0,0,1
5755,5755,0,0,37,0,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,13,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
2357,2357,0,5,30,0,0,1,0,0,1,1,1,-1,2,-1,1,1,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
5729,5729,0,0,56,1,0,1,0,0,1,1,1,-1,1,-1,1,1,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
4960,4960,0,0,24,-1,0,3,0,0,0,1,3,-1,4,-1,0,1,-1,9,0,0.532188841,1,0,0,0,0,1,1,0,0,0,0,0,1
3558,3558,0,2,23,-1,0,6,0,0,0,0,6,0,7,0,0,0,0,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
6034,6034,0,0,52,1,0,3,0,0,3,1,3,-1,1,-1,3,0,-1,31,0,0.460869565,0,1,0,0,0,1,1,0,0,0,0,0,1
2480,2480,0,2,28,0,1,6,1,1,4,1,6,0,3,-1,4,0,-1,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
1949,1949,0,0,39,0,0,8,0,0,7,1,8,1,6,0,7,1,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
4573,4573,0,2,28,0,0,3,0,0,0,1,3,-1,2,-1,0,1,-1,0,2,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,1
4621,4621,0,0,29,0,0,1,0,0,3,1,1,-1,2,-1,3,0,-1,1,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,0
5430,5430,0,3,26,0,0,3,0,0,0,1,3,-1,3,-1,0,1,-1,2,4,0.48852459,0,0,0,1,0,1,0,1,0,0,0,0,0
2254,2254,0,0,26,0,1,10,1,0,18,1,10,1,7,0,18,1,-1,197,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
3213,3213,0,2,53,1,0,4,0,0,9,1,4,-1,7,0,9,1,-1,117,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
3031,3031,0,0,41,0,0,6,0,0,0,4,6,0,2,-1,0,0,-4,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
5460,5460,0,0,32,0,0,4,0,0,4,1,4,-1,2,-1,4,0,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
4568,4568,1,0,36,0,0,9,0,0,13,1,9,1,3,-1,13,1,-1,33,1,0.469041561,0,0,1,0,0,0,1,0,0,0,0,0,1
4204,4204,0,3,23,-1,0,8,0,0,6,1,8,1,5,0,6,0,-1,34,4,0.469041561,0,0,1,0,0,1,0,1,0,0,0,0,0
3802,3802,1,0,37,0,0,5,0,0,0,0,5,0,3,-1,0,1,0,37,1,0.469041561,0,0,1,0,0,0,1,0,0,0,0,0,0
1308,1308,0,0,26,0,1,10,0,0,3,1,10,1,9,1,3,1,-1,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
1288,1288,0,0,21,-1,0,10,0,0,0,1,10,1,7,0,0,0,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
3071,3071,0,2,20,-1,1,7,0,0,1,77,7,0,9,1,1,1,13,40,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
1000,1000,0,0,32,0,0,9,0,0,21,1,9,1,8,1,21,1,-1,64,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
880,880,0,3,19,-1,1,9,0,0,1,12,9,1,10,1,1,1,-12,4,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
2124,2124,0,0,20,-1,0,3,0,0,0,5,3,-1,6,0,0,1,-4,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
4102,4102,0,0,48,1,0,7,0,0,7,1,7,0,3,-1,7,1,-1,2,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,1
1413,1413,0,0,34,0,0,9,0,0,0,1,9,1,8,1,0,1,-1,2,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
3273,3273,0,2,47,1,0,2,0,0,0,1,2,-1,1,-1,0,0,-1,2,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
4247,4247,0,0,24,-1,0,2,0,0,0,0,2,-1,3,-1,0,0,0,1,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,1
423,423,0,2,56,1,0,1,0,0,4,2,1,-1,1,-1,4,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
3081,3081,0,3,21,-1,1,10,0,0,4,1,10,1,10,1,4,1,-1,0,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,1
2754,2754,0,0,64,1,0,4,0,0,8,2262,4,-1,2,-1,8,0,-4,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
1342,1342,0,0,39,0,0,1,0,0,1,6,1,-1,1,-1,1,1,-6,4,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
3020,3020,0,0,22,-1,0,6,0,0,1,1,6,0,8,1,1,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
4153,4153,0,3,42,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,4,4,0.469041561,0,0,1,0,0,1,0,1,0,0,0,0,0
5872,5872,0,0,34,0,0,7,0,0,22,1,7,0,2,-1,22,1,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
3773,3773,0,3,26,0,0,6,0,0,4,1,6,0,6,0,4,1,0,-1,4,0.469041561,0,0,1,0,0,1,0,1,0,0,0,0,0
5086,5086,0,2,55,1,0,3,0,0,3,1,3,-1,1,-1,3,0,0,1,2,0.532188841,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,5,69,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
2119,2119,1,2,26,0,0,5,0,0,2,0,5,0,4,-1,2,0,0,0,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
1554,1554,0,0,63,1,0,3,0,0,6,0,3,-1,2,-1,6,1,-1,24,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
3739,3739,0,0,34,0,0,4,0,0,5,1,4,-1,2,-1,5,1,-1,2,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,1
4060,4060,0,2,44,0,3,7,0,0,16,1,7,0,3,-1,16,0,-1,81,2,0.469041561,0,0,1,0,0,0,0,0,1,0,0,0,0
2542,2542,0,3,19,-1,2,8,0,0,2,2,8,1,9,1,2,1,-2,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,1
1634,1634,0,0,49,1,0,7,0,0,1,1,7,0,4,-1,1,0,-1,10,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
2483,2483,0,2,28,0,0,2,0,0,0,1,2,-1,2,-1,0,1,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
1613,1613,0,5,24,-1,0,8,0,0,3,1,8,1,7,0,3,0,-1,3,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
4219,4219,0,0,24,-1,0,5,0,0,1,1,5,0,7,0,1,1,-1,75,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,1
6112,6112,0,0,37,0,0,9,0,0,17,1,9,1,3,-1,17,0,-1,45,0,0.460869565,0,1,0,0,0,1,1,0,0,0,0,0,0
2250,2250,1,0,38,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
3501,3501,1,4,33,0,0,7,0,0,5,1,7,0,4,-1,5,1,-1,2,7,0.43504204,0,0,0,0,1,0,0,0,0,1,0,0,1
5586,5586,0,0,29,0,0,1,0,0,1,0,1,-1,2,-1,1,0,0,0,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
5348,5348,0,0,38,0,0,1,0,0,2,1,1,-1,1,-1,2,1,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
1261,1261,0,2,28,0,0,2,0,0,1,1,2,-1,3,-1,1,0,0,-1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
6039,6039,0,0,32,0,0,6,3,0,10,1,6,0,5,0,10,1,-1,3,0,0.460869565,0,1,0,0,0,1,1,0,0,0,0,0,1
3391,3391,0,0,36,0,0,9,0,0,1,1,9,1,3,-1,1,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
2213,2213,0,0,52,1,0,1,0,0,1,1,1,-1,1,-1,1,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
3077,3077,0,2,52,1,0,1,0,0,1,1,1,-1,1,-1,1,1,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
1701,1701,0,0,43,0,0,4,0,0,7,0,4,-1,3,-1,7,1,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
5823,5823,0,2,51,1,0,1,0,0,4,1,1,-1,1,-1,4,1,-1,1,2,0.48852459,0,0,0,1,0,0,0,0,1,0,0,0,1
949,949,1,0,25,0,0,3,0,0,1,1,3,-1,3,-1,1,0,-1,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,1
1567,1567,0,0,21,-1,0,9,0,0,0,1,9,1,8,1,0,0,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
656,656,0,0,44,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
2573,2573,0,0,21,-1,0,8,0,0,4,1,8,1,6,0,4,1,-1,60,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
6065,6065,0,0,33,0,0,7,0,0,0,1,7,0,7,0,0,0,-1,0,0,0.460869565,0,1,0,0,0,1,1,0,0,0,0,0,0
1125,1125,0,2,21,-1,0,8,1,2,1,1,8,1,9,1,1,1,-1,12,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
2866,2866,0,3,45,1,0,1,0,0,0,1,1,-1,1,-1,0,1,0,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
4528,4528,0,3,22,-1,0,3,0,0,0,1,3,-1,5,0,0,1,-1,0,4,0.469041561,0,0,1,0,0,1,0,1,0,0,0,0,0
2320,2320,0,0,30,0,0,7,1,0,9,1,7,0,2,-1,9,1,-1,8,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
3807,3807,0,5,21,-1,0,4,0,0,1,1,4,-1,6,0,1,1,-1,0,6,0.469041561,0,0,1,0,0,0,0,0,0,0,0,1,1
3754,3754,0,0,27,0,0,8,0,0,13,1,8,1,9,1,13,0,-1,1,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,1
5946,5946,0,2,45,1,0,4,0,0,8,0,4,-1,3,-1,8,0,0,71,2,0.460869565,0,1,0,0,0,0,0,0,1,0,0,0,1
4975,4975,0,0,23,-1,0,6,0,0,3,1,6,0,4,-1,3,0,-1,13,0,0.532188841,1,0,0,0,0,1,1,0,0,0,0,0,1
4048,4048,1,0,35,0,0,7,0,0,12,2,7,0,3,-1,12,1,-2,0,1,0.469041561,0,0,1,0,0,0,1,0,0,0,0,0,1
1964,1964,0,5,31,0,0,2,0,0,0,1,2,-1,2,-1,0,0,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
3859,3859,0,0,47,1,0,3,0,0,4,0,3,-1,2,-1,4,1,0,0,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,0
1707,1707,1,0,50,1,0,3,0,0,4,2,3,-1,1,-1,4,1,-1,13,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
2851,2851,0,0,37,0,0,5,0,0,8,1,5,0,5,0,8,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
770,770,0,0,34,0,0,7,0,0,15,6,7,0,7,0,15,1,-6,6,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
5403,5403,0,0,37,0,0,2,0,0,4,1,2,-1,1,-1,4,1,-1,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
1851,1851,0,2,56,1,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
5785,5785,0,0,24,-1,0,5,0,0,3,0,5,0,3,-1,3,1,0,0,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
120,120,0,0,20,-1,0,8,0,0,1,1,8,1,7,0,1,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
4715,4715,0,5,42,0,0,2,0,0,1,39,2,-1,2,-1,1,1,-2,1,6,0.469041561,0,0,1,0,0,0,0,0,0,0,0,1,0
5623,5623,0,2,29,0,0,3,0,0,1,1,3,-1,2,-1,1,0,-1,43,2,0.48852459,0,0,0,1,0,0,0,0,1,0,0,0,0
4465,4465,0,0,52,1,0,7,0,0,0,1,7,0,7,0,0,1,-1,4,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,1
124,124,0,0,20,-1,0,8,0,0,0,1,8,1,6,0,0,1,-1,2,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
5037,5037,0,2,30,0,0,8,0,0,13,2,8,1,2,-1,13,1,-2,33,2,0.532188841,1,0,0,0,0,0,0,0,1,0,0,0,1
6098,6098,0,2,23,-1,0,3,0,0,0,1,3,-1,5,0,0,0,-1,0,2,0.460869565,0,1,0,0,0,0,0,0,1,0,0,0,1
417,417,0,5,21,-1,0,3,0,0,0,1,3,-1,7,0,0,1,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
2177,2177,0,2,26,0,0,4,0,0,2,1,4,-1,7,0,2,1,0,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
303,303,0,0,25,0,0,3,0,0,0,1,3,-1,4,-1,0,0,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
4775,4775,0,0,29,0,0,7,0,1,9,1,7,0,4,-1,9,1,-1,1,0,0.469041561,0,0,1,0,0,1,1,0,0,0,0,0,1
475,475,0,3,47,1,0,4,0,0,0,4,4,-1,1,-1,0,0,-4,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
5721,5721,0,0,30,0,0,7,0,0,21,1,7,0,2,-1,21,1,0,0,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,1
2884,2884,0,0,35,0,0,3,0,0,6,1,3,-1,3,-1,6,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
3142,3142,0,2,29,0,0,2,0,0,1,18,2,-1,3,-1,1,1,-18,2,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
5398,5398,0,0,48,1,0,6,0,0,2,0,6,0,1,-1,2,1,0,1,0,0.48852459,0,0,0,1,0,1,1,0,0,0,0,0,0
419,419,0,0,22,-1,0,7,0,1,1,1,7,0,9,1,1,0,28,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
5046,5046,0,2,23,-1,0,8,0,0,3,1,8,1,5,0,3,0,-1,35,2,0.532188841,1,0,0,0,0,0,0,0,1,0,0,0,1
