id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,y
23,0,2,31,0,0,5,0,0,6,1.0,5,0,4,-1,6,1,-1.0,1.0,1
24,0,2,31,0,0,3,0,0,5,1.0,3,-1,2,-1,5,1,-1.0,1.0,1
25,0,0,64,1,0,6,0,0,13,1.0,6,0,3,-1,13,1,-1.0,1.0,1
26,0,0,21,-1,0,9,0,0,1,1.0,9,1,9,1,1,1,-1.0,3.0,1
27,0,2,27,0,0,2,0,0,0,0.0,2,-1,3,-1,0,0,0.0,0.0,1
28,1,2,21,-1,0,4,0,0,0,2.0,4,-1,5,0,0,1,-2.0,1.0,0
30,0,3,24,-1,0,4,0,0,1,1.0,4,-1,5,0,1,1,0.0,0.0,1
32,0,2,43,0,0,1,0,0,1,1.0,1,-1,2,-1,1,0,-1.0,1.0,0
33,0,5,32,0,0,3,0,0,0,1.0,3,-1,4,-1,0,0,-1.0,1.0,0
37,0,0,27,0,0,3,0,0,8,1.0,3,-1,3,-1,8,1,-1.0,17.0,1
38,1,2,36,0,0,3,0,0,3,95.0,3,-1,1,-1,3,1,53.0,0.0,0
39,0,0,26,0,0,7,0,1,5,1.0,7,0,7,0,5,1,-1.0,0.0,1
40,0,0,33,0,0,10,0,0,0,1.0,10,1,6,0,0,1,0.0,37.0,1
41,0,2,30,0,0,9,0,0,9,0.0,9,1,10,1,9,1,0.0,44.0,1
42,0,0,32,0,0,8,0,0,4,1.0,8,1,3,-1,4,1,-1.0,1.0,1
45,0,2,55,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,2.0,0
50,0,5,49,1,0,3,0,0,7,0.0,3,-1,2,-1,7,1,-1.0,3.0,1
51,0,2,26,0,0,8,0,2,6,382.0,8,1,8,1,6,0,81.0,12.0,0
52,1,2,33,0,0,5,0,0,4,1.0,5,0,2,-1,4,0,-1.0,11.0,1
53,0,2,24,-1,0,2,0,0,1,0.0,2,-1,3,-1,1,0,0.0,1.0,1
54,0,0,34,0,2,9,1,3,21,0.0,9,1,6,0,21,1,0.0,33.0,1
55,0,2,29,0,0,2,0,0,0,1.0,2,-1,2,-1,0,0,0.0,-1.0,0
56,1,0,21,-1,0,8,0,0,2,1.0,8,1,8,1,2,1,-1.0,79.0,0
57,0,0,51,1,0,1,0,0,2,1.0,1,-1,1,-1,2,0,-1.0,1.0,0
59,0,2,29,0,0,2,0,0,2,1.0,2,-1,2,-1,2,0,-1.0,0.0,1
61,1,0,51,1,0,2,0,0,7,1.0,2,-1,2,-1,7,1,-1.0,1.0,0
64,0,0,29,0,0,7,0,0,0,0.0,7,0,2,-1,0,1,0.0,0.0,1
66,0,2,25,0,0,10,0,0,9,1.0,10,1,9,1,9,0,-1.0,6.0,1
67,0,0,35,0,1,8,0,4,13,1.0,8,1,3,-1,13,1,-1.0,0.0,1
68,0,2,49,1,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0.0,0
69,0,0,34,0,0,3,0,0,4,59.0,3,-1,2,-1,4,0,-59.0,51.0,1
70,0,0,29,0,0,4,0,0,0,1.0,4,-1,3,-1,0,1,0.0,0.0,0
71,0,2,29,0,0,2,0,0,1,24.0,2,-1,2,-1,1,1,-24.0,0.0,1
72,1,5,28,0,0,2,0,0,0,1.0,2,-1,2,-1,0,1,-1.0,0.0,0
75,0,2,48,1,0,6,0,0,20,562.0,6,0,4,-1,20,1,302.0,10.0,1
77,1,3,63,1,0,1,0,0,1,219.0,1,-1,1,-1,1,1,-219.0,8.0,0
79,0,0,31,0,0,5,0,1,15,1.0,5,0,7,0,15,1,-1.0,135.0,0
80,0,0,24,-1,0,4,0,0,2,1.0,4,-1,4,-1,2,1,-1.0,1.0,1
83,0,3,30,0,0,7,0,0,0,0.0,7,0,3,-1,0,0,0.0,23.0,0
84,0,0,49,1,0,1,0,0,4,1.0,1,-1,1,-1,4,0,-1.0,0.0,0
85,0,2,53,1,0,5,0,0,8,13.0,5,0,2,-1,8,1,-13.0,13.0,0
87,0,0,35,0,0,3,0,0,5,1.0,3,-1,2,-1,5,1,-1.0,0.0,0
88,0,0,63,1,0,7,0,0,10,906.0,7,0,5,0,10,0,-38.0,35.0,1
90,0,0,27,0,1,10,1,2,15,1.0,10,1,9,1,15,1,-1.0,1.0,1
91,0,2,38,0,0,2,0,0,4,1.0,2,-1,2,-1,4,0,-1.0,1.0,1
93,0,0,22,-1,0,4,0,1,1,1.0,4,-1,6,0,1,1,-1.0,1.0,1
95,0,0,22,-1,0,10,1,2,2,114.0,10,1,9,1,2,1,70.0,124.0,1
96,0,0,29,0,0,9,0,0,4,1.0,9,1,5,0,4,1,-1.0,18.0,1
97,0,3,62,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,-1.0,0
98,0,0,27,0,0,6,1,0,6,0.0,6,0,3,-1,6,1,0.0,30.0,1
99,0,5,33,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1.0,0
100,1,0,56,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,3.0,0
101,0,3,45,1,0,1,0,0,6,1.0,1,-1,1,-1,6,1,-1.0,241.0,1
102,0,3,22,-1,0,4,0,0,1,1.0,4,-1,6,0,1,1,-1.0,1.0,0
105,0,0,39,0,0,4,0,0,1,1.0,4,-1,2,-1,1,0,-1.0,4.0,0
107,0,0,29,0,0,6,0,0,5,0.0,6,0,3,-1,5,1,0.0,1.0,1
108,0,2,27,0,0,6,0,1,1,1.0,6,0,3,-1,1,1,-1.0,14.0,1
111,0,0,40,0,0,2,0,0,2,15.0,2,-1,1,-1,2,1,-15.0,3.0,0
113,0,0,22,-1,0,3,0,0,1,1.0,3,-1,3,-1,1,0,0.0,16.0,1
114,0,2,22,-1,0,8,0,0,0,1.0,8,1,6,0,0,1,-1.0,57.0,0
115,1,0,26,0,0,4,0,0,1,1.0,4,-1,3,-1,1,1,-1.0,2.0,1
116,0,2,27,0,0,7,0,0,1,44.0,7,0,8,1,1,1,-43.0,19.0,1
119,0,0,32,0,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,1.0,0
120,0,0,41,0,0,2,0,0,1,5185.0,2,-1,2,-1,1,0,-1.0,1.0,0
122,0,0,30,0,0,10,0,0,8,1.0,10,1,9,1,8,0,-1.0,1.0,1
127,0,5,50,1,0,1,0,0,0,1.0,1,-1,2,-1,0,1,-1.0,0.0,1
128,0,0,25,0,1,10,6,1,14,1.0,10,1,10,1,14,1,-1.0,7.0,1
130,0,5,20,-1,0,5,0,0,0,1.0,5,0,8,1,0,1,-1.0,1.0,1
131,0,0,22,-1,1,9,0,0,2,0.0,9,1,10,1,2,1,0.0,30.0,1
132,0,0,23,-1,0,7,0,1,2,192.0,7,0,8,1,2,0,137.0,0.0,1
136,1,0,35,0,0,2,0,0,1,1.0,2,-1,1,-1,1,0,-1.0,0.0,0
137,0,0,36,0,0,7,0,0,9,1.0,7,0,6,0,9,1,0.0,3.0,1
138,0,2,26,0,0,8,0,0,7,1.0,8,1,4,-1,7,1,0.0,0.0,1
139,0,5,21,-1,0,6,0,0,1,1.0,6,0,6,0,1,1,0.0,3.0,1
142,0,2,25,0,0,8,0,0,9,1.0,8,1,9,1,9,1,-1.0,0.0,1
143,0,0,71,1,0,7,0,0,12,804.0,7,0,3,-1,12,0,3.3047632836253076,18.235413348776603,0
145,1,2,20,-1,0,7,0,0,0,1.0,7,0,8,1,0,1,-1.0,0.0,0
146,0,2,39,0,0,1,0,0,2,3.0,1,-1,1,-1,2,1,-2.0,-1.0,1
147,0,2,66,1,0,1,0,0,3,64.0,1,-1,1,-1,3,1,-64.0,30.0,0
148,1,2,54,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,0.0,0
150,1,3,44,0,0,1,0,0,0,2.0,1,-1,1,-1,0,0,-2.0,1.0,0
151,0,0,19,-1,0,4,0,0,1,10.0,4,-1,7,0,1,0,-10.0,9.0,1
152,0,0,24,-1,0,2,0,0,1,137.0,2,-1,3,-1,1,1,-137.0,137.0,0
153,0,0,30,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,-1.0,0.0,0
154,1,2,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1.0,1
156,0,2,24,-1,0,6,1,2,8,0.0,6,0,6,0,8,1,-1.0,12.0,1
157,0,2,30,0,0,4,0,0,0,1.0,4,-1,2,-1,0,1,-1.0,5.0,0
158,0,2,31,0,0,5,0,0,0,1.0,5,0,2,-1,0,0,-1.0,38.0,0
159,1,2,39,0,0,4,0,0,1,1.0,4,-1,3,-1,1,1,-1.0,106.0,0
160,0,0,59,1,0,9,0,0,14,265.0,9,1,4,-1,14,1,178.0,109.0,1
163,0,2,43,0,0,1,0,0,1,30.0,1,-1,1,-1,1,1,-30.0,1.0,0
166,0,0,21,-1,0,9,0,0,3,1.0,9,1,6,0,3,1,-1.0,6.0,1
169,0,2,38,0,0,4,0,0,5,1.0,4,-1,3,-1,5,0,-1.0,2.0,1
171,0,2,34,0,0,5,0,0,0,0.0,5,0,5,0,0,1,0.0,14.0,0
173,0,0,33,0,0,5,0,0,5,1.0,5,0,2,-1,5,1,0.0,0.0,1
174,0,0,37,0,0,2,0,0,3,0.0,2,-1,1,-1,3,1,0.0,1.0,0
175,0,2,42,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,0.0,0.0,1
176,0,0,41,0,0,9,1,0,10,0.0,9,1,7,0,10,1,0.0,176.0,1
177,0,0,22,-1,0,4,0,0,0,1.0,4,-1,7,0,0,1,-1.0,0.0,1
178,0,0,33,0,0,8,12,2,28,1.0,8,1,5,0,28,1,-1.0,1.0,1
180,0,0,31,0,0,7,0,0,1,1.0,7,0,8,1,1,0,-1.0,1.0,0
182,1,5,30,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,-1.0,1.0,0
183,0,2,31,0,0,10,0,0,13,0.0,10,1,7,0,13,1,-1.0,471.0,1
184,0,0,27,0,0,9,0,0,3,1.0,9,1,4,-1,3,1,-1.0,0.0,1
187,0,0,56,1,0,9,0,0,8,79.0,9,1,3,-1,8,1,67.0,79.0,0
189,0,2,52,1,0,9,0,0,3,2.0,9,1,6,0,3,0,-2.0,0.0,0
190,0,0,33,0,0,10,0,0,19,1.0,10,1,7,0,19,1,-1.0,0.0,1
192,1,2,64,1,0,1,0,0,2,48.0,1,-1,1,-1,2,0,-47.0,-1.0,0
193,0,2,22,-1,0,6,0,0,4,36.0,6,0,8,1,4,1,-36.0,14.0,1
194,0,2,42,0,0,3,0,0,6,5.0,3,-1,1,-1,6,1,-4.0,-1.0,0
195,1,2,25,0,0,4,0,0,2,1.0,4,-1,5,0,2,1,-1.0,3.0,0
197,0,2,30,0,0,2,0,0,1,20.0,2,-1,2,-1,1,0,-20.0,3.0,0
199,0,2,28,0,0,1,0,0,2,161.0,1,-1,2,-1,2,1,3.3047632836253076,18.235413348776603,0
200,1,5,37,0,0,2,0,0,2,222.0,2,-1,1,-1,2,0,-1.0,1.0,0
202,0,2,28,0,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,0.0,1
203,1,0,24,-1,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,2.0,0
206,1,2,29,0,0,4,1,0,10,1.0,4,-1,2,-1,10,1,-1.0,7.0,1
208,0,2,44,0,0,2,0,0,2,1.0,2,-1,1,-1,2,0,0.0,-1.0,1
209,1,3,30,0,0,5,0,0,4,36.0,5,0,5,0,4,1,-35.0,0.0,1
210,0,0,32,0,0,7,0,0,3,1.0,7,0,3,-1,3,1,-1.0,8.0,1
213,0,2,31,0,0,3,0,0,2,16.0,3,-1,3,-1,2,0,-16.0,15.0,1
215,0,0,31,0,0,2,0,0,1,1.0,2,-1,3,-1,1,0,-1.0,1.0,0
216,0,2,59,1,0,2,0,0,1,1.0,2,-1,1,-1,1,1,-1.0,0.0,1
218,1,2,45,1,0,4,0,0,4,375.0,4,-1,3,-1,4,1,3.3047632836253076,18.235413348776603,0
220,1,0,20,-1,1,10,0,0,1,0.0,10,1,10,1,1,1,0.0,2.0,0
222,1,2,43,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0.0,0
223,0,0,38,0,1,8,1,0,9,1.0,8,1,4,-1,9,1,-1.0,13.0,1
224,0,0,32,0,0,6,0,0,11,2.0,6,0,5,0,11,1,-2.0,1.0,1
225,0,0,33,0,0,5,0,0,8,1.0,5,0,2,-1,8,0,-1.0,0.0,1
227,1,0,31,0,0,3,0,0,0,1.0,3,-1,2,-1,0,1,-1.0,1.0,1
228,1,0,33,0,0,9,0,0,7,1.0,9,1,9,1,7,1,-1.0,26.0,1
229,0,0,27,0,0,9,0,0,2,1.0,9,1,8,1,2,1,-1.0,1.0,1
231,1,0,20,-1,0,6,0,0,0,1.0,6,0,8,1,0,1,0.0,0.0,0
232,1,2,26,0,0,6,0,0,0,2.0,6,0,3,-1,0,0,-2.0,0.0,0
234,1,0,61,1,0,1,0,0,1,1.0,1,-1,1,-1,1,1,-1.0,0.0,1
235,0,5,52,1,0,7,0,0,13,1.0,7,0,6,0,13,1,-1.0,1.0,1
236,0,3,63,1,0,1,0,0,1,26.0,1,-1,1,-1,1,1,-26.0,14.0,0
238,1,0,32,0,0,10,0,0,4,7.0,10,1,9,1,4,1,-7.0,6.0,1
239,0,3,29,0,0,4,0,0,1,1.0,4,-1,4,-1,1,1,-1.0,0.0,0
240,1,5,46,1,0,2,0,0,1,72.0,2,-1,1,-1,1,1,3.3047632836253076,18.235413348776603,0
241,1,0,26,0,0,4,0,0,2,1.0,4,-1,4,-1,2,0,-1.0,0.0,1
242,0,0,55,1,0,1,0,0,3,52.0,1,-1,1,-1,3,0,-51.0,1.0,0
243,0,2,39,0,1,4,0,0,1,1672.0,4,-1,4,-1,1,0,-1.0,3.0,0
244,1,2,30,0,0,7,0,0,3,1.0,7,0,4,-1,3,1,0.0,530.0,1
245,0,0,30,0,0,7,0,0,1,1.0,7,0,8,1,1,1,0.0,70.0,0
246,0,2,48,1,0,2,0,0,2,1.0,2,-1,1,-1,2,0,-1.0,0.0,0
248,0,0,22,-1,0,2,0,0,1,1.0,2,-1,4,-1,1,1,-1.0,0.0,0
249,0,2,46,1,0,1,0,0,6,31.0,1,-1,1,-1,6,1,22.0,22.0,1
251,1,2,49,1,0,6,0,0,6,56.0,6,0,2,-1,6,1,-56.0,5.0,0
252,0,2,31,0,0,5,0,0,0,1.0,5,0,4,-1,0,1,0.0,2.0,0
254,0,0,25,0,0,2,0,0,1,1.0,2,-1,3,-1,1,0,-1.0,1.0,1
257,0,3,23,-1,0,3,0,0,0,2.0,3,-1,5,0,0,1,-1.0,0.0,0
258,1,0,32,0,0,7,0,0,5,1.0,7,0,3,-1,5,1,-1.0,1.0,0
259,0,3,52,1,0,1,0,0,2,1.0,1,-1,1,-1,2,0,-1.0,3.0,0
260,0,0,62,1,0,4,0,0,8,1.0,4,-1,1,-1,8,1,0.0,15.0,0
262,1,2,37,0,0,10,0,0,6,111.0,10,1,4,-1,6,1,-110.0,105.0,0
263,0,2,55,1,0,1,0,0,1,45.0,1,-1,1,-1,1,1,-45.0,18.0,0
264,0,3,31,0,0,9,0,0,8,61.0,9,1,7,0,8,1,29.0,117.0,1
265,0,0,28,0,0,6,0,0,6,1.0,6,0,6,0,6,0,-1.0,0.0,1
266,0,3,54,1,0,1,0,0,2,1.0,1,-1,1,-1,2,1,-1.0,188.0,0
267,0,3,58,1,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,0.0,0
268,0,2,78,1,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,0.0,1
269,0,2,56,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1.0,0
271,0,5,24,-1,0,2,0,0,0,1.0,2,-1,4,-1,0,1,-1.0,1.0,0
272,0,0,38,0,2,8,2,1,22,35.0,8,1,5,0,22,1,-34.0,33.0,1
275,0,0,22,-1,0,5,0,0,1,1.0,5,0,5,0,1,1,0.0,0.0,1
277,0,0,47,1,0,8,0,0,23,1.0,8,1,1,-1,23,0,-1.0,0.0,1
278,0,0,23,-1,0,2,0,0,0,1.0,2,-1,4,-1,0,0,-1.0,1.0,1
279,0,3,57,1,0,1,0,0,1,0.0,1,-1,1,-1,1,1,0.0,19.0,0
280,1,2,38,0,0,5,0,0,2,35.0,5,0,2,-1,2,1,-35.0,0.0,1
281,0,0,66,1,0,1,0,0,3,10.0,1,-1,1,-1,3,1,-10.0,2.0,0
282,0,2,45,1,0,4,0,0,8,0.0,4,-1,3,-1,8,0,0.0,71.0,1
285,1,5,52,1,0,3,0,0,0,57.731368186874306,3,-1,1,-1,0,0,3.3047632836253076,18.235413348776603,1
286,0,0,32,0,0,10,0,0,13,1.0,10,1,7,0,13,1,289.0,97.0,1
287,0,0,37,0,0,9,0,0,2,0.0,9,1,8,1,2,0,0.0,0.0,1
288,0,2,39,0,0,4,0,0,0,0.0,4,-1,4,-1,0,1,0.0,0.0,1
289,0,0,26,0,0,9,0,0,9,1.0,9,1,8,1,9,1,0.0,79.0,1
291,0,2,45,1,0,3,0,0,2,1.0,3,-1,4,-1,2,1,-1.0,358.0,0
293,0,0,23,-1,0,3,0,0,0,1.0,3,-1,4,-1,0,1,-1.0,0.0,1
294,0,0,34,0,0,2,0,0,2,1.0,2,-1,1,-1,2,0,0.0,25.0,0
297,1,0,23,-1,0,4,0,0,1,1.0,4,-1,4,-1,1,0,-1.0,0.0,0
298,0,5,36,0,0,3,0,0,2,1.0,3,-1,1,-1,2,0,-1.0,2.0,1
299,0,2,50,1,0,1,0,0,1,4.0,1,-1,1,-1,1,1,-4.0,1.0,0
300,1,2,37,0,0,3,0,0,0,1.0,3,-1,1,-1,0,0,-1.0,0.0,0
301,0,2,44,0,0,4,0,0,4,0.0,4,-1,4,-1,4,0,0.0,1.0,0
302,1,0,35,0,0,9,1,0,23,1.0,9,1,9,1,23,1,-1.0,2.0,1
304,0,5,24,-1,0,5,0,0,5,1.0,5,0,4,-1,5,1,-1.0,0.0,1
306,0,0,26,0,0,10,0,0,2,1.0,10,1,8,1,2,1,-1.0,1.0,1
308,0,0,27,0,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,2.0,0
310,1,0,28,0,0,8,0,0,0,1.0,8,1,6,0,0,1,0.0,29.0,0
311,0,2,43,0,0,5,0,0,11,56.0,5,0,3,-1,11,1,49.0,121.0,1
313,1,2,28,0,0,9,0,0,7,1.0,9,1,6,0,7,1,-1.0,1.0,1
315,0,0,38,0,0,1,0,0,2,1.0,1,-1,1,-1,2,1,-1.0,1.0,0
316,0,2,27,0,0,4,0,0,2,36.0,4,-1,3,-1,2,0,-36.0,36.0,0
317,1,0,28,0,0,9,0,0,1,1.0,9,1,7,0,1,1,-1.0,38.0,0
319,0,2,56,1,0,1,0,0,7,1.0,1,-1,1,-1,7,1,-1.0,0.0,1
320,0,0,38,0,0,9,0,0,15,1.0,9,1,3,-1,15,1,-1.0,1.0,0
321,0,0,28,0,0,5,0,0,2,2147.0,5,0,4,-1,2,0,-1.0,0.0,0
322,0,0,45,1,0,6,0,0,3,23.0,6,0,4,-1,3,1,104.0,218.0,0
323,0,3,28,0,0,2,0,0,0,5.0,2,-1,3,-1,0,0,3.3047632836253076,18.235413348776603,0
325,0,2,61,1,0,1,0,0,1,34.0,1,-1,1,-1,1,1,-34.0,0.0,0
326,1,2,51,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,0.0,1
327,0,2,51,1,0,2,0,0,0,1.0,2,-1,2,-1,0,0,-1.0,0.0,0
329,0,5,36,0,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,1.0,1
330,0,0,48,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1.0,0
331,0,2,37,0,0,3,0,0,4,0.0,3,-1,4,-1,4,1,0.0,1.0,1
332,1,0,30,0,0,7,0,0,2,1.0,7,0,4,-1,2,1,-1.0,2.0,0
333,1,0,41,0,0,6,0,0,5,1.0,6,0,3,-1,5,0,0.0,0.0,0
334,0,0,27,0,0,10,0,0,11,1.0,10,1,9,1,11,1,-1.0,223.0,1
335,0,0,37,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1.0,0
336,0,5,33,0,0,4,0,0,4,1.0,4,-1,2,-1,4,1,0.0,2.0,1
337,0,0,54,1,0,9,0,0,11,1.0,9,1,9,1,11,1,-1.0,129.0,0
338,0,0,23,-1,0,9,0,0,2,1.0,9,1,5,0,2,1,-1.0,71.0,0
341,1,0,26,0,0,4,0,0,2,227.0,4,-1,6,0,2,1,-227.0,226.0,1
344,0,0,41,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0.0,0
345,0,2,52,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0.0,0
347,0,2,43,0,0,4,0,0,13,1.0,4,-1,1,-1,13,1,0.0,51.0,1
348,0,0,52,1,0,4,0,0,0,1.0,4,-1,3,-1,0,1,-1.0,13.0,0
349,0,2,28,0,0,1,0,0,1,3.0,1,-1,2,-1,1,1,-3.0,3.0,0
350,0,0,30,0,0,9,0,2,11,1.0,9,1,4,-1,11,0,-1.0,1.0,1
351,0,2,28,0,0,5,0,0,1,0.0,5,0,3,-1,1,1,0.0,6.0,0
354,0,0,22,-1,0,4,0,0,0,1.0,4,-1,6,0,0,1,-1.0,0.0,0
355,0,0,30,0,0,2,0,0,4,0.0,2,-1,2,-1,4,1,0.0,-1.0,0
356,0,3,25,0,0,4,0,0,4,0.0,4,-1,4,-1,4,1,0.0,1.0,0
357,0,2,31,0,0,8,0,0,0,1.0,8,1,5,0,0,1,-1.0,30.0,1
358,0,2,37,0,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,35.0,1
359,0,0,32,0,0,9,1,0,14,1.0,9,1,8,1,14,1,-1.0,1.0,0
360,0,0,26,0,0,8,1,0,4,1562.0,8,1,6,0,4,0,649.0,75.0,0
361,0,2,53,1,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,1.0,0
362,0,0,28,0,0,8,0,0,25,70.0,8,1,9,1,25,1,29.0,25.0,1
363,0,2,44,0,0,5,0,0,8,1.0,5,0,3,-1,8,0,-1.0,4.0,1
364,0,0,25,0,0,3,0,0,0,1.0,3,-1,4,-1,0,1,0.0,0.0,0
366,0,2,22,-1,0,8,0,1,1,0.0,8,1,7,0,1,0,0.0,5.0,1
369,1,5,37,0,0,1,0,0,0,2.0,1,-1,1,-1,0,0,-1.0,1.0,0
372,1,5,40,0,0,2,0,0,3,1.0,2,-1,1,-1,3,1,-1.0,1.0,0
374,0,2,36,0,0,7,0,0,8,0.0,7,0,9,1,8,1,150.0,22.0,1
375,0,2,30,0,0,2,0,0,4,140.0,2,-1,2,-1,4,1,-140.0,62.0,0
376,0,0,22,-1,0,9,0,0,3,208.0,9,1,9,1,3,0,161.0,0.0,1
377,1,2,24,-1,0,7,0,0,1,32.0,7,0,5,0,1,0,-32.0,29.0,1
378,0,0,27,0,0,2,0,0,3,46.0,2,-1,3,-1,3,0,-44.0,6.0,1
379,1,3,31,0,0,2,0,0,0,1.0,2,-1,2,-1,0,0,-1.0,0.0,0
381,0,3,23,-1,0,6,0,1,1,1.0,6,0,4,-1,1,1,-1.0,1.0,1
382,1,2,23,-1,0,5,0,4,5,1.0,5,0,7,0,5,1,-1.0,0.0,1
383,0,3,24,-1,0,8,0,0,0,3.0,8,1,7,0,0,0,-3.0,0.0,0
384,0,0,29,0,0,3,0,0,1,1.0,3,-1,3,-1,1,0,-1.0,0.0,0
385,0,0,20,-1,0,8,0,0,1,1.0,8,1,7,0,1,1,-1.0,1.0,1
386,0,0,30,0,0,6,0,0,2,1.0,6,0,5,0,2,1,-1.0,1.0,1
389,0,5,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0.0,0
390,0,0,27,0,0,4,0,0,4,1.0,4,-1,4,-1,4,1,-1.0,0.0,0
392,0,2,31,0,0,4,0,0,2,1016.0,4,-1,3,-1,2,0,812.0,10.0,0
393,1,0,37,0,0,1,0,0,2,0.0,1,-1,1,-1,2,1,0.0,0.0,0
396,0,0,20,-1,0,8,0,0,0,1.0,8,1,6,0,0,1,-1.0,2.0,0
398,0,3,22,-1,0,7,0,1,0,0.0,7,0,6,0,0,1,0.0,2.0,0
399,1,0,52,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0.0,0
400,1,0,23,-1,0,4,0,0,0,1.0,4,-1,4,-1,0,1,-1.0,3.0,1
402,1,0,48,1,0,2,0,0,0,1.0,2,-1,3,-1,0,1,-1.0,1.0,0
403,0,0,66,1,0,6,0,0,8,562.0,6,0,1,-1,8,1,3.3047632836253076,18.235413348776603,1
404,0,2,25,0,0,5,0,0,0,1.0,5,0,4,-1,0,1,0.0,0.0,0
405,0,2,27,0,0,6,0,0,0,1.0,6,0,7,0,0,1,-1.0,1.0,1
406,0,0,30,0,0,7,0,0,11,0.0,7,0,6,0,11,1,0.0,1.0,1
407,0,0,22,-1,0,10,1,1,3,1.0,10,1,7,0,3,0,-1.0,1.0,1
408,1,2,22,-1,0,3,0,0,1,1.0,3,-1,4,-1,1,1,-1.0,0.0,0
409,0,0,35,0,0,10,0,0,2,1.0,10,1,8,1,2,1,3.3047632836253076,18.235413348776603,0
410,0,2,32,0,0,4,0,0,2,232.0,4,-1,4,-1,2,1,-232.0,40.0,0
411,1,0,41,0,0,3,0,0,2,1.0,3,-1,1,-1,2,0,-1.0,0.0,0
